operateur;dsp;thematique;indicateur;mode;groupe_de_lignes;id_line;ligne;trimestre;annee;resultat_indicateurs_en;resultat_indicateurs_en_occurrence;objectif_reference_contrat;penalite
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01727;Ligne C;T3;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01736;Ligne N;T3;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01739;Ligne J;T4;2022;100;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01727;Ligne C;T1;2022;96.9;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01738;Ligne K;T1;2022;98.9;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tram-train;;C01843;Ligne T4;T1;2022;97.6;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01727;Ligne C;T2;2022;98.2;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tram-train;;C01843;Ligne T4;T2;2022;98.8;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tram-train;;C01843;Ligne T4;T3;2022;95.5;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01742;Ligne A;T4;2022;94.6;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01743;Ligne B;T4;2022;98;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01728;Ligne D;T4;2022;98.2;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01729;Ligne E;T4;2022;97.9;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01740;Ligne L;T4;2022;97.7;;98;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;RER;;C01727;Ligne C;T1;2022;100;;76;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;RER;;C01729;Ligne E;T1;2022;92.3;;84.8;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01730;Ligne P;T1;2022;93.8;;84.3;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01741;Ligne U;T2;2022;66.7;;84.5;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Tram-train;;C01843;Ligne T4;T2;2022;83.3;;87.5;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;RER;;C01727;Ligne C;T3;2022;92;;76;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01736;Ligne N;T3;2022;93.8;;93.60000000000001;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01730;Ligne P;T3;2022;93.8;;84.3;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Tram-train;;C01843;Ligne T4;T3;2022;68.2;;87.5;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01737;Ligne H;T4;2022;100;;95;Non
SNCF;;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01739;Ligne J;T4;2022;90.1;;80.5;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;RER;;C01727;Ligne C;T1;2022;99.2;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;RER;;C01729;Ligne E;T1;2022;99.4;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;Train;;C01739;Ligne J;T1;2022;97.1;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;Tram-train;;C01999;Ligne T11;T1;2022;99.8;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;RER;;C01727;Ligne C;T3;2022;96.6;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;Train;;C01739;Ligne J;T3;2022;97.3;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;RER;;C01742;Ligne A;T4;2022;99.9;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;RER;;C01729;Ligne E;T4;2022;99.4;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;Train;;C01737;Ligne H;T4;2022;98;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;Train;;C01739;Ligne J;T4;2022;95.4;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de travaux;Train;;C01741;Ligne U;T4;2022;98.6;;99;Non
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;RER;;C01727;Ligne C;T1;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Train;;C01731;Ligne R;T1;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;RER;;C01728;Ligne D;T2;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Train;;C01741;Ligne U;T2;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;RER;;C01727;Ligne C;T3;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Train;;C01737;Ligne H;T3;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Train;;C01739;Ligne J;T3;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Train;;C01741;Ligne U;T3;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;RER;;C01742;Ligne A;T4;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;RER;;C01727;Ligne C;T4;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;RER;;C01728;Ligne D;T4;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Train;;C01731;Ligne R;T4;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en cas de grèves;Tram-train;;C01999;Ligne T11;T4;2022;;0;;Oui
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;RER;;C01742;Ligne A;T1;2022;99.1;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01731;Ligne R;T1;2022;99.6;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;RER;;C01728;Ligne D;T2;2022;97;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01739;Ligne J;T2;2022;97.3;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01740;Ligne L;T2;2022;95.8;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01730;Ligne P;T2;2022;94.1;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01741;Ligne U;T2;2022;100;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;RER;;C01727;Ligne C;T3;2022;99.2;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01741;Ligne U;T3;2022;100;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;RER;;C01742;Ligne A;T4;2022;98.5;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;RER;;C01743;Ligne B;T4;2022;97.3;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01736;Ligne N;T4;2022;95;;89;Non
SNCF;;Information voyageurs;Information voyageurs en situation perturbée imprévue;Train;;C01730;Ligne P;T4;2022;96.9;;89;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;RER;;C01743;Ligne B;T1;2022;94.1;;97;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;RER;;C01743;Ligne B;T2;2022;93.6;;97;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;Train;;C01740;Ligne L;T2;2022;94.8;;97;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;RER;;C01728;Ligne D;T3;2022;96.1;;97;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;Train;;C01741;Ligne U;T3;2022;96.7;;97;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;Train;;C01737;Ligne H;T4;2022;94.3;;97;Non
SNCF;;Ventes & Validations;Fonctionnement des automates de vente;Train;;C01731;Ligne R;T4;2022;94.5;;97;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;RER;;C01727;Ligne C;T1;2022;99.3;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01736;Ligne N;T1;2022;99;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01741;Ligne U;T1;2022;99.1;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;RER;;C01729;Ligne E;T2;2022;99.3;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01737;Ligne H;T2;2022;98.3;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01730;Ligne P;T2;2022;99.5;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Tram-train;;C01843;Ligne T4;T2;2022;95.5;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01738;Ligne K;T3;2022;99.1;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01741;Ligne U;T3;2022;98.5;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;RER;;C01727;Ligne C;T4;2022;99.6;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;RER;;C01729;Ligne E;T4;2022;99.3;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01736;Ligne N;T4;2022;98.9;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Train;;C01741;Ligne U;T4;2022;98.6;;96.5;Non
SNCF;;Ventes & Validations;Disponibilité des équipements de validation;Tram-train;;C01843;Ligne T4;T4;2022;98.1;;96.5;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Train;;C01741;Ligne U;T1;2022;100;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Tram-train;;C01999;Ligne T11;T2;2022;95.2;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);RER;;C01728;Ligne D;T3;2022;91.1;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Train;;C01737;Ligne H;T3;2022;93.9;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Train;;C01736;Ligne N;T3;2022;96.2;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Train;;C01731;Ligne R;T3;2022;90;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Train;;C01730;Ligne P;T4;2022;84;;93;Non
SNCF;;Ventes & Validations;Efficacité des lignes de Contrôles Automatiques Banlieue (CAB);Tram-train;;C01999;Ligne T11;T4;2022;66.7;;93;Non
SNCF;;Propreté;Propreté des gares;RER;;C01727;Ligne C;T1;2022;93.9;;90;Non
SNCF;;Propreté;Propreté des gares;RER;;C01729;Ligne E;T1;2022;91;;90;Non
SNCF;;Propreté;Propreté des gares;Tram-train;;C01843;Ligne T4;T1;2022;91.8;;90;Non
SNCF;;Propreté;Propreté des gares;RER;;C01728;Ligne D;T2;2022;93.5;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01738;Ligne K;T2;2022;92.3;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01736;Ligne N;T2;2022;95.5;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01731;Ligne R;T2;2022;94.7;;90;Non
SNCF;;Propreté;Propreté des gares;RER;;C01727;Ligne C;T3;2022;94.9;;90;Non
SNCF;;Propreté;Propreté des gares;RER;;C01729;Ligne E;T3;2022;92.7;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01739;Ligne J;T3;2022;93.5;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01736;Ligne N;T3;2022;96.2;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01731;Ligne R;T3;2022;96.2;;90;Non
SNCF;;Propreté;Propreté des gares;Tram-train;;C01999;Ligne T11;T3;2022;95.1;;90;Non
SNCF;;Propreté;Propreté des gares;RER;;C01729;Ligne E;T4;2022;94.8;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01730;Ligne P;T4;2022;93.9;;90;Non
SNCF;;Propreté;Propreté des gares;Train;;C01741;Ligne U;T4;2022;95.8;;90;Non
SNCF;;Propreté;Propreté des gares;Tram-train;;C01999;Ligne T11;T4;2022;95.2;;90;Non
SNCF;;Propreté;Propreté des trains;RER;;C01743;Ligne B;T1;2022;99;;94;Non
SNCF;;Propreté;Propreté des trains;RER;;C01728;Ligne D;T1;2022;86.3;;94;Non
SNCF;;Propreté;Propreté des trains;RER;;C01729;Ligne E;T1;2022;77.6;;94;Non
SNCF;;Propreté;Propreté des trains;Train;;C01739;Ligne J;T1;2022;87.3;;94;Non
SNCF;;Propreté;Propreté des trains;Train;;C01740;Ligne L;T1;2022;93.7;;94;Non
SNCF;;Propreté;Propreté des trains;RER;;C01728;Ligne D;T2;2022;84.4;;94;Non
SNCF;;Propreté;Propreté des trains;Tram-train;;C01999;Ligne T11;T2;2022;86.6;;94;Non
SNCF;;Propreté;Propreté des trains;RER;;C01728;Ligne D;T4;2022;92.9;;94;Non
SNCF;;Propreté;Propreté des trains;Train;;C01731;Ligne R;T4;2022;94;;94;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01736;Ligne N;T1;2022;77.3;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01741;Ligne U;T1;2022;79.1;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs en gare;RER;;C01729;Ligne E;T2;2022;82.2;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01739;Ligne J;T3;2022;78.6;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01738;Ligne K;T3;2022;87.9;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01741;Ligne U;T3;2022;76.9;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01742;Ligne A;T1;2022;94.5;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01737;Ligne H;T1;2022;95.7;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01736;Ligne N;T1;2022;93.9;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01730;Ligne P;T1;2022;94;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01742;Ligne A;T2;2022;84.9;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01727;Ligne C;T2;2022;80.5;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01737;Ligne H;T2;2022;79.8;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01738;Ligne K;T2;2022;82.4;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01730;Ligne P;T2;2022;84.4;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Tram-train;;C01843;Ligne T4;T2;2022;90.5;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01743;Ligne B;T3;2022;79.7;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01730;Ligne P;T3;2022;81.6;;97;Non
SNCF;;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01739;Ligne J;T4;2022;89.9;;97;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01728;Ligne D;T1;2022;94.5;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01731;Ligne R;T1;2022;93.3;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01727;Ligne C;T2;2022;79.9;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01728;Ligne D;T2;2022;73.6;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01729;Ligne E;T2;2022;73.4;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01736;Ligne N;T2;2022;78;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01731;Ligne R;T2;2022;71.3;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01741;Ligne U;T2;2022;77.2;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Tram-train;;C01999;Ligne T11;T2;2022;77.8;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01743;Ligne B;T3;2022;70.7;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01729;Ligne E;T3;2022;78.3;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Tram-train;;C01999;Ligne T11;T3;2022;96.3;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01728;Ligne D;T4;2022;86.2;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01729;Ligne E;T4;2022;91;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01737;Ligne H;T4;2022;84.8;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01738;Ligne K;T4;2022;99.7;;91;Non
SNCF;;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Tram-train;;C01999;Ligne T11;T4;2022;90.2;;91;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01731;Ligne R;T1;2022;94.6;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01742;Ligne A;T2;2022;97.8;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01727;Ligne C;T2;2022;97.7;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01729;Ligne E;T2;2022;96.6;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01743;Ligne B;T3;2022;97.3;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01736;Ligne N;T3;2022;97.1;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01741;Ligne U;T3;2022;98.8;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01743;Ligne B;T4;2022;96.4;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01729;Ligne E;T4;2022;98.3;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01738;Ligne K;T4;2022;97.8;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01736;Ligne N;T4;2022;97.2;;98;Non
SNCF;;Elévatique;Disponibilité des escaliers mécaniques;Tram-train;;C01999;Ligne T11;T4;2022;99.2;;98;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01739;Ligne J;T1;2022;100;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01736;Ligne N;T1;2022;99.7;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;RER;;C01742;Ligne A;T2;2022;96.9;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01738;Ligne K;T2;2022;99.8;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01731;Ligne R;T2;2022;98.9;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;RER;;C01727;Ligne C;T3;2022;98.4;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01740;Ligne L;T3;2022;97.9;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01730;Ligne P;T4;2022;97.9;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des escaliers mécaniques;Train;;C01741;Ligne U;T4;2022;98.6;;97;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01727;Ligne C;T1;2022;48.2;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01743;Ligne B;T2;2022;68.5;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01727;Ligne C;T2;2022;56.6;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01729;Ligne E;T3;2022;92.3;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;Train;;C01741;Ligne U;T3;2022;100;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01727;Ligne C;T4;2022;100;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01728;Ligne D;T4;2022;100;;98;Non
SNCF;;Elévatique;Délai d'information en cas de pannes des escaliers mécaniques;RER;;C01729;Ligne E;T4;2022;50;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;RER;;C01742;Ligne A;T1;2022;97.6;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;RER;;C01728;Ligne D;T1;2022;97;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01739;Ligne J;T1;2022;99.1;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01738;Ligne K;T1;2022;96;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01741;Ligne U;T1;2022;99.5;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01737;Ligne H;T2;2022;96.9;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01738;Ligne K;T2;2022;98.7;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;RER;;C01742;Ligne A;T3;2022;97.8;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;RER;;C01727;Ligne C;T3;2022;97.1;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01740;Ligne L;T3;2022;97.7;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01736;Ligne N;T3;2022;98.7;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;Train;;C01730;Ligne P;T3;2022;97.8;;98;Non
SNCF;;Elévatique;Disponibilité des ascenseurs;RER;;C01728;Ligne D;T4;2022;97.1;;98;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des ascenseurs;RER;;C01743;Ligne B;T1;2022;97;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des ascenseurs;Train;;C01738;Ligne K;T1;2022;85;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des ascenseurs;Train;;C01736;Ligne N;T1;2022;93.3;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des ascenseurs;Tram-train;;C01999;Ligne T11;T2;2022;100;;97;Non
SNCF;;Elévatique;Délai de remise en service en cas de pannes des ascenseurs;RER;;C01728;Ligne D;T3;2022;97;;97;Non
